inTable$redshift,u,g,r,i,z
0.03976773,18.93346,17.50839,16.89023,16.56285,16.34571
0.07835671,18.83684,17.72621,17.28181,16.96017,16.79317
0.08872843,20.6478,19.35913,18.92673,18.57177,18.47407
0.07408678,18.82511,16.89128,15.98565,15.54761,15.23113
0.05507302,18.68365,17.51786,16.99027,16.66278,16.46826
0.06635986,19.53391,17.83965,17.04996,16.65,16.38204
0.07823891,19.63216,17.81403,16.80554,16.28958,15.90271
0.08334567,19.61347,18.33329,17.74401,17.40084,17.21221
0.04476457,18.30343,16.45608,15.56483,15.14437,14.80818
0.07730004,19.08237,18.11023,17.80713,17.56838,17.43847
0.09278236,20.22294,18.42713,17.48001,17.07362,16.74324
0.05538857,18.15264,16.90173,16.29533,15.94172,15.71393
0.06727459,19.49176,17.65878,16.84854,16.486,16.1979
0.09476691,18.86598,17.42562,16.65408,16.23706,15.96438
0.07583263,18.53348,16.83493,16.08027,15.58856,15.30185
0.04138354,18.78863,17.87128,17.46676,17.20672,17.02923
0.05136491,17.67502,16.0053,15.12271,14.66146,14.34246
0.05673357,18.47795,17.29335,16.80898,16.49645,16.31779
0.06621426,19.69211,17.52274,16.46381,15.97781,15.52973
0.07791577,18.21754,16.53995,15.7501,15.35057,15.07306
0.02521191,19.72679,18.11691,17.46068,17.14509,17.05053
0.08948208,18.75395,16.74828,15.83922,15.42447,15.1061
0.06778676,18.3021,17.09078,16.58011,16.22251,16.05986
0.09627023,18.36394,16.36373,15.34722,14.86759,14.48369
0.08342694,19.51554,18.20666,17.59541,17.24084,16.99749
0.09000913,18.86196,17.94383,17.62439,17.31342,17.23196
0.03888225,19.15689,17.58653,16.80435,16.40922,16.09113
0.02937843,16.69557,15.08431,14.34809,13.97654,13.69045
0.08286881,18.76715,17.87517,17.62127,17.23936,17.10783
0.0777721,20.11761,18.28001,17.37786,16.96771,16.65647
0.06325037,17.73345,15.83813,14.95782,14.54326,14.20936
0.08430941,19.85995,18.11167,17.13729,16.68926,16.34872
0.0527132,19.70172,17.63726,16.69387,16.23714,15.88062
0.07523409,19.7052,17.76354,16.85463,16.44639,16.115
0.03019626,18.52757,17.11548,16.40126,16.06641,15.76201
0.01592919,17.34646,16.39931,16.05207,15.88691,15.74504
0.07444097,18.54243,17.51598,17.17808,16.93171,16.82792
0.0598233,18.51523,16.9713,16.24985,15.8024,15.48741
0.05432655,17.83955,16.44135,15.80457,15.43737,15.2291
0.05143276,19.32593,17.48923,16.64663,16.21245,15.91933
0.0478091,19.49362,18.2627,17.74728,17.4072,17.18664
0.08188601,18.4333,17.2646,16.72185,16.38764,16.19539
0.08429761,18.86815,16.96083,16.074,15.67577,15.36927
0.06754433,19.45033,18.09386,17.4934,17.15546,16.90952
0.08844718,19.99734,18.20652,17.27061,16.86528,16.54099
0.0777847,19.22577,17.39355,16.54306,16.14124,15.7875
0.09630276,19.26103,18.04976,17.44449,17.08998,16.8882
0.09198254,18.90911,17.47675,16.73029,16.2947,15.9031
0.04075935,16.19074,15.16061,14.76991,14.50103,14.34964
0.06991383,21.46375,18.86392,17.68604,17.07397,16.6204
0.05846964,17.08258,15.39581,14.61472,14.19983,13.90309
0.09067594,18.35245,16.59742,15.69464,15.2764,14.96043
0.04225766,18.26394,16.43586,15.66146,15.2753,14.99477
0.08152026,19.47089,17.69706,16.81239,16.4058,16.10717
0.08896653,20.81623,18.88634,17.89462,17.34005,16.88864
0.06868695,18.96903,17.76303,17.18389,16.84485,16.67576
0.06264214,18.59214,17.36404,16.80467,16.44349,16.23564
0.0450699,19.16992,17.24595,16.38441,15.96306,15.65289
0.04725284,17.94975,16.08036,15.25162,14.82971,14.47859
0.04989376,18.47121,17.42284,17.04948,16.80573,16.65127
0.07002417,18.01172,15.99728,15.08318,14.63904,14.30147
0.08114203,18.5901,17.51197,17.05813,16.72007,16.57594
0.02385031,16.0388,14.53663,13.78251,13.38828,13.06663
0.07195228,20.1924,17.97236,17.1483,16.65694,16.31219
0.08027193,18.97313,16.94093,16.03391,15.61099,15.29262
0.07397775,19.35648,18.0795,17.53205,17.24564,17.04276
0.09830971,18.9151,17.42079,16.48134,16.00907,15.63799
0.09936295,20.32284,18.54639,17.61051,17.20939,16.89149
0.03720253,19.41138,18.22358,17.78681,17.56539,17.45831
0.03638685,18.64264,17.25695,16.70395,16.3963,16.23413
0.09965715,20.27698,18.27091,17.3186,16.92178,16.58397
0.03440906,16.55137,14.85469,13.98921,13.53893,13.20384
0.05009805,19.85807,18.01956,17.15626,16.72168,16.42991
0.0971268,19.86112,17.95667,16.91239,16.40783,16.0295
0.05252395,19.55344,18.03828,17.27695,16.89422,16.62948
0.03690049,16.25689,14.3569,13.49965,13.03686,12.74439
0.09253596,19.4406,18.07104,17.22321,16.74698,16.38915
0.09628589,19.1526,17.52366,16.83268,16.46488,16.23705
0.05469677,19.48615,18.23747,17.80494,17.53596,17.32894
0.09870984,19.11769,17.25463,16.23919,15.75423,15.43872
0.08269528,18.53371,17.00203,16.19248,15.74738,15.43274
0.07252857,18.59343,16.86841,15.96645,15.53527,15.19407
0.07868516,20.30075,18.55844,17.63513,17.1944,16.86474
0.07875926,18.15654,16.1841,15.22917,14.78113,14.41611
0.06157618,19.10136,17.14352,16.23287,15.78427,15.46525
0.04025903,18.61905,17.33422,16.80601,16.51118,16.30798
0.03691935,19.97871,18.11709,17.25967,16.8635,16.61041
0.08591845,20.15256,18.06741,17.16158,16.74657,16.41139
0.09123119,21.36829,19.50085,18.64348,18.13846,17.77486
0.06512039,19.61421,17.84146,17.05692,16.69506,16.40845
0.06911246,19.0411,18.26791,18.10202,17.82494,17.84223
0.0571919,20.20294,18.48578,17.63166,17.23499,16.94898
0.0297939,17.96849,16.50546,15.74758,15.33536,15.01074
0.02811822,17.25889,15.23263,14.34396,13.94418,13.61588
0.03178229,19.05195,17.47301,16.75191,16.38651,16.10354
0.03039843,17.67558,16.1972,15.42399,15.06395,14.7343
0.02195737,15.94847,14.17195,13.4121,13.01659,12.74362
0.07888652,19.35452,18.31436,17.85002,17.46529,17.33735
0.07373551,17.44126,15.88094,15.14985,14.69339,14.39212
0.04310856,19.09364,17.81366,17.19567,16.85526,16.64075
